MACH,WAFER_ID,Vf,TOUCHDOWN,PD,X_UM,Y_UM,TE_LABEL,TYPE,LDI_mA,FLAG,ITH
LIV_54,QCHZ2,1.63815,4,2.211944,-43119,-59966,63N0G,BL LASER,20,,12.703815026768893
LIV_54,QCHZ2,1.643311,4,2.507698,-43119,-59966,63N0G,BL LASER,21,,12.703815026768893
LIV_54,QCHZ2,1.64855,4,2.801808,-43119,-59966,63N0G,BL LASER,22,,12.703815026768893
LIV_54,QCHZ2,1.65375,4,3.100849,-43119,-59966,63N0G,BL LASER,23,,12.703815026768893
LIV_54,QCHZ2,1.658951,4,3.396603,-43119,-59966,63N0G,BL LASER,24,,12.703815026768893
LIV_54,QCHZ2,1.664189,4,3.690713,-43119,-59966,63N0G,BL LASER,25,,12.703815026768893
LIV_54,QCHZ2,1.669389,4,3.983181,-43119,-59966,63N0G,BL LASER,26,,12.703815026768893
LIV_54,QCHZ2,1.674551,4,4.274006,-43119,-59966,63N0G,BL LASER,27,,12.703815026768893
LIV_54,QCHZ2,1.679751,4,4.566474,-43119,-59966,63N0G,BL LASER,28,,12.703815026768893
LIV_54,QCHZ2,1.684951,4,4.857299,-43119,-59966,63N0G,BL LASER,29,,12.703815026768893
LIV_54,QCHZ2,1.690151,4,5.149766,-43119,-59966,63N0G,BL LASER,30,,12.703815026768893
LIV_54,QCHZ2,1.695313,4,5.447163,-43119,-59966,63N0G,BL LASER,31,,12.703815026768893
LIV_54,QCHZ2,1.700474,4,5.737988,-43119,-59966,63N0G,BL LASER,32,,12.703815026768893
LIV_54,QCHZ2,1.705674,4,6.033742,-43119,-59966,63N0G,BL LASER,33,,12.703815026768893
LIV_54,QCHZ2,1.710797,4,6.327853,-43119,-59966,63N0G,BL LASER,34,,12.703815026768893
LIV_54,QCHZ2,1.715959,4,6.621964,-43119,-59966,63N0G,BL LASER,35,,12.703815026768893
LIV_54,QCHZ2,1.721082,4,6.912789,-43119,-59966,63N0G,BL LASER,36,,12.703815026768893
